step,time,loss,acc
5,2021-07-13T12:51:03.276836,6.346689e-01,6.093750e-01
10,2021-07-13T12:51:05.537230,1.018047e+00,5.234375e-01
15,2021-07-13T12:51:08.391450,4.942629e-01,8.671875e-01
20,2021-07-13T12:51:10.618456,4.397100e-01,7.578125e-01
25,2021-07-13T12:51:14.027591,4.029101e-01,8.046875e-01
30,2021-07-13T12:51:17.353730,3.300410e-01,8.593750e-01
35,2021-07-13T12:51:21.196436,4.078560e-01,8.125000e-01
40,2021-07-13T12:51:24.058980,3.125709e-01,8.515625e-01
45,2021-07-13T12:51:27.536174,2.513475e-01,9.140625e-01
50,2021-07-13T12:51:30.640174,2.382963e-01,8.984375e-01
55,2021-07-13T12:51:35.078338,2.579630e-01,9.140625e-01
60,2021-07-13T12:52:04.205038,2.116276e-01,8.984375e-01
65,2021-07-13T12:52:08.219030,1.746613e-01,9.296875e-01
70,2021-07-13T12:52:12.180177,2.480374e-01,9.140625e-01
75,2021-07-13T12:52:17.048026,2.775728e-01,8.828125e-01
80,2021-07-13T12:52:20.856741,1.931859e-01,9.140625e-01
85,2021-07-13T12:52:25.814060,2.981507e-01,8.671875e-01
90,2021-07-13T12:52:29.743406,2.269141e-01,8.984375e-01
95,2021-07-13T12:52:33.962373,1.568687e-01,9.296875e-01
100,2021-07-13T12:52:37.584207,2.586718e-01,8.750000e-01
105,2021-07-13T12:52:42.510130,2.513674e-01,8.828125e-01
110,2021-07-13T12:52:46.194680,1.146232e-01,9.609375e-01
115,2021-07-13T12:52:52.378326,1.569659e-01,9.375000e-01
120,2021-07-13T12:52:56.800110,1.167577e-01,9.843750e-01
125,2021-07-13T12:53:02.059928,1.764837e-01,8.984375e-01
130,2021-07-13T12:53:05.588820,2.401330e-01,8.750000e-01
135,2021-07-13T12:53:09.769214,1.377270e-01,9.531250e-01
140,2021-07-13T12:53:13.591760,2.334377e-01,8.750000e-01
145,2021-07-13T12:53:18.266867,1.609117e-01,9.296875e-01
150,2021-07-13T12:53:22.038928,1.472355e-01,9.453125e-01
155,2021-07-13T12:53:25.786323,9.311647e-02,9.687500e-01
160,2021-07-13T12:53:29.735654,1.631555e-01,9.140625e-01
165,2021-07-13T12:53:33.751888,2.121619e-01,9.140625e-01
170,2021-07-13T12:53:37.257629,1.526031e-01,9.531250e-01
175,2021-07-13T12:53:41.553234,1.959181e-01,9.296875e-01
180,2021-07-13T12:53:46.223412,3.488199e-01,8.500000e-01
